name,population,area,density,iso,region
An Giang,2151,3536.7,608,VN-44,Mekong River Delta
Bà Rịa - Vũng Tàu,1027.2,1989.5,516,VN-43,South East
Bắc Giang,1574.3,3844,410,VN-54,North East
Bắc Kạn,298.7,4859.4,61,VN-53,North East
Bạc Liêu,873.3,2468.7,354,VN-55,Mekong River Delta
Bắc Ninh,1060.3,822.7,1289,VN-56,Red River Delta
Bến Tre,1257.8,2360.6,533,VN-50,Mekong River Delta
Bình Định,1497.3,6050.6,247,VN-31,South Central Coast
Bình Dương,1691.4,2694.4,628,VN-57,South East
Bình Phước,905.3,6871.5,132,VN-58,South East
Bình Thuận,1180.3,7812.9,151,VN-40,South Central Coast
Cà Mau,1214.9,5294.9,229,VN-59,Mekong River Delta
Cần Thơ,1200.3,1409,852,VN-CT,Mekong River Delta
Cao Bằng,515,6707.9,77,VN-04,North East
Đà Nẵng,951.7,1285.4,740,VN-DN,South Central Coast
Đắk Lắk,1771.8,13125.4,135,VN-33,Central Highlands
Đắk Nông,516.3,6515.6,79,VN-72,Central Highlands
Điện Biên,512.3,9562.9,54,VN-71,North West
Đồng Nai,2665.1,5907.2,451,VN-39,South East
Đồng Tháp,1673.2,3377,495,VN-45,Mekong River Delta
Gia Lai,1322,15536.9,85,VN-30,Central Highlands
Hà Giang,746.3,7914.9,94,VN-03,North East
Hà Nam,786.9,860.5,914,VN-63,Red River Delta
Hà Nội,6699.6,3328.9,2013,VN-HN,Red River Delta
Hà Tĩnh,1229.3,5997.2,205,VN-23,North Central
Hải Dương,1718.9,1656,1038,VN-61,Red River Delta
Hải Phòng,1878.5,1523.4,1233,VN-HP,Red River Delta
Hậu Giang,769.2,1602.5,480,VN-73,Mekong River Delta
Hồ Chí Minh,7521.1,2095.6,3589,VN-SG,South East
Hoà Bình,799.8,4608.7,174,VN-14,North West
Hưng Yên,1150.4,926,1242,VN-66,Red River Delta
Khánh Hoà,1174.1,5217.7,225,VN-34,South Central Coast
Kiên Giang,1714.1,6348.5,270,VN-47,Mekong River Delta
Kon Tum,453.2,9689.6,47,VN-28,Central Highlands
Lai Châu,391.2,9068.8,43,VN-01,North West
Lâm Đồng,1218.7,9773.5,125,VN-35,Central Highlands
Lạng Sơn,741.2,8320.8,89,VN-09,North East
Lào Cai,637.5,6383.9,100,VN-02,North West
Long An,1449.6,4492.4,323,VN-41,Mekong River Delta
Nam Định,1833.5,1651.4,1110,VN-67,Red River Delta
Nghệ An,2942.9,16493.7,178,VN-22,North Central
Ninh Bình,906.9,1390.3,652,VN-18,Red River Delta
Ninh Thuận,569,3358.3,169,VN-36,South Central Coast
Phú Thọ,1326,3533.4,375,VN-68,North East
Phú Yên,871.9,5060.6,172,VN-32,South Central Coast
Quảng Bình,853,8065.3,106,VN-24,North Central
Quảng Nam,1435,10438.4,137,VN-27,South Central Coast
Quảng Ngãi,1221.6,5153,237,VN-29,South Central Coast
Quảng Ninh,1163.7,6102.4,191,VN-13,Red River Delta
Quảng Trị,604.7,4739.8,128,VN-25,North Central
Sóc Trăng,1303.7,3311.6,394,VN-52,Mekong River Delta
Sơn La,1119.4,14174.4,79,VN-05,North West
Tây Ninh,1080.7,4039.7,268,VN-37,South East
Thái Bình,1786,1570,1138,VN-20,Red River Delta
Thái Nguyên,1139.4,3531.7,323,VN-69,North East
Thanh Hoá,3412.6,11131.9,307,VN-21,North Central
Thừa Thiên Huế,1103.1,5033.2,219,VN-26,North Central
Tiền Giang,1682.6,2508.3,671,VN-46,Mekong River Delta
Trà Vinh,1012.6,2341.2,433,VN-51,Mekong River Delta
Tuyên Quang,730.8,5867.3,125,VN-07,North East
Vĩnh Long,1028.6,1496.8,687,VN-49,Mekong River Delta
Vĩnh Phúc,1014.6,1236.5,821,VN-70,Red River Delta
Yên Bái,758.6,6886.3,110,VN-06,North West